,imdbid,genre,rating,country,language,runtime,release_date,certificate
0,tt3993886,Drama,5.9/10,USA,English,121 min,1 May 2020,15
1,tt10230426,Drama,4.5/10,India,Hindi,106 min,1 May 2020,15
2,tt9683478,Comedy,7/10,USA,English,104 min,1 May 2020,12
3,tt9827854,Drama,7.7/10,USA,English,,1 May 2020,15
4,tt10919486,Drama,7.2/10,Belgium,French,,1 May 2020,15
5,tt9109976,Crime,6.4/10,India,Tamil,134 min,24 January 2020,"
 See all certifications »
            "
6,tt1899240,Comedy,7.4/10,South Africa,English,94 min,10 February 2012,"
 See all certifications »
            "
7,tt0783532,Action,7.3/10,South Africa,English,119 min,29 August 2008,15
8,tt12079212,Drama,7.4/10,Taiwan,Mandarin,,30 April 2020,18
9,tt12079236,Crime,6.2/10,Japan,Japanese,,30 April 2020,"
 See all certifications »
            "
10,tt3260524,Documentary,8.1/10,USA,English,81 min,29 April 2020,12
11,tt10262630,Crime,7.6/10,South Korea,Korean,,29 April 2020,15
12,tt11394340,Comedy,6.7/10,USA,,,23 January 2020,
13,tt10799940,Drama,7.2/10,Nigeria,English,,27 September 2019,"
 See all certifications »
            "
14,tt11199356,Action,6.7/10,India,Telugu,150 min,21 February 2020,12A
15,tt12055392,Comedy,7.2/10,India,English,72 min,24 April 2020,15
16,tt8936646,Action,6.8/10,USA,English,116 min,24 April 2020,18
17,tt6280858,Drama,2.6/10,India,Tamil,100 min,14 June 2019,15
18,tt9466298,Animation,6.3/10,Japan,Japanese,,23 April 2020,15
19,tt11777040,Action,6.2/10,South Korea,Korean,134 min,23 April 2020,"
 See all certifications »
            "
20,tt5514296,Comedy,7.2/10,Indonesia,Indonesian,108 min,19 May 2016,"
 See all certifications »
            "
21,tt10039468,Adventure,6.6/10,Indonesia,Indonesian,96 min,28 March 2019,"
 See all certifications »
            "
22,tt5206260,Animation,6.4/10,Canada,English,90 min,22 April 2020,PG
23,tt11718294,Documentary,7.1/10,UK,English,,26 January 2020,"
 See all certifications »
            "
24,tt12027008,Documentary,3.8/10,USA,English,,22 April 2020,12
25,tt10397734,Crime,4.4/10,Nigeria,English,103 min,9 August 2019,"
 See all certifications »
            "
26,tt11639414,Animation,8.4/10,USA,English,,20 April 2020,15
27,tt11531530,Drama,6.9/10,India,Malayalam,145 min,7 February 2020,12A
28,tt8750570,Biography,6.1/10,USA,English,118 min,17 April 2020,15
29,tt9359294,Comedy,5.3/10,India,Hindi,,17 April 2020,"
 See all certifications »
            "
30,tt10092752,Action,5/10,France,French,80 min,17 April 2020,15
31,tt1668053,Documentary,,USA,English,7 min,,
32,tt1795681,Action,5.7/10,Egypt,Arabic,7 min,7 December 2008,"
 See all certifications »
            "
33,tt11958922,Documentary,8/10,USA,English,,15 April 2020,18
34,tt10293938,Action,7.6/10,USA,English,,15 April 2020,15
35,tt10991188,Romance,4.6/10,India,Telugu,154 min,13 February 2020,"
 See all certifications »
            "
36,tt1020956,Comedy,6.4/10,Egypt,Arabic,105 min,26 July 2006,"
 See all certifications »
            "
37,tt7629780,Action,,USA,English,105 min,,
38,tt2364114,Action,5.7/10,Egypt,Arabic,105 min,,
39,tt1272034,Comedy,4.7/10,Egypt,Arabic,120 min,22 July 2008,
40,tt6449770,Comedy,4.6/10,Egypt,Arabic,111 min,16 June 2010,"
 See all certifications »
            "
41,tt11987296,Comedy,6/10,USA,English,55 min,14 April 2020,"
 See all certifications »
            "
42,tt8902948,Drama,6.4/10,USA,English,91 min,10 April 2020,
43,tt10540242,Action,4.7/10,USA,English,101 min,10 April 2020,"
 See all certifications »
            "
44,tt8783532,Comedy,6.4/10,France,French,111 min,28 August 2019,KT/EA
45,tt12027020,Documentary,7.3/10,USA,English,92 min,10 April 2020,"
 See all certifications »
            "
46,tt10930958,Comedy,4.8/10,USA,English,,10 April 2020,15
47,tt9581778,Reality-TV,7.4/10,France,,,9 April 2020,"
 See all certifications »
            "
48,tt6328116,Comedy,6.6/10,USA,English,65 min,18 August 2017,"
 See all certifications »
            "
49,tt9364848,Comedy,7.1/10,Philippines,Filipino,96 min,23 January 2019,"
 See all certifications »
            "
50,tt10726356,Comedy,6.4/10,USA,English,,6 April 2020,U
51,tt11987330,Comedy,5.8/10,Sweden,Swedish,77 min,1 April 2020,"
 See all certifications »
            "
52,tt8857590,Comedy,4.9/10,Turkey,Turkish,99 min,5 October 2018,"
 See all certifications »
            "
53,tt2178470,Drama,7.1/10,India,Hindi,160 min,31 May 2013,PG
54,tt2814372,Comedy,5.7/10,India,Hindi,160 min,10 May 2013,"
 See all certifications »
            "
55,tt0301231,Action,7/10,India,Hindi,169 min,18 September 1984,15
56,tt0415908,Adventure,4.6/10,India,Hindi,126 min,29 April 2005,15
57,tt3802576,Action,6.5/10,India,Hindi,156 min,15 August 2015,15
58,tt4939436,Documentary,7.6/10,USA,English,101 min,18 September 2015,
59,tt0107060,Action,6.3/10,India,Hindi,149 min,3 August 1993,15
60,tt1185420,Comedy,6.5/10,India,Hindi,145 min,14 November 2008,PG
61,tt0164550,Action,5.5/10,India,Hindi,145 min,8 May 1998,PG
62,tt0098999,Action,7.7/10,India,Hindi,174 min,16 February 1990,18
63,tt0239682,Drama,5.3/10,India,Hindi,171 min,26 June 1987,"
 See all certifications »
            "
64,tt11092086,Comedy,4.8/10,USA,,,1 April 2020,12
65,tt11958942,Documentary,6.9/10,USA,English,,1 April 2020,"
 See all certifications »
            "
66,tt8367184,Comedy,5.5/10,USA,English,90 min,20 September 2019,
67,tt3398268,Animation,7.7/10,Japan,Japanese,103 min,11 February 2015,U
68,tt0113824,Animation,7.9/10,Japan,Japanese,111 min,22 November 1996,U
69,tt0110008,Animation,7.3/10,Japan,Japanese,119 min,24 November 1995,PG
70,tt0347149,Animation,8.2/10,Japan,Japanese,119 min,23 September 2005,U
71,tt1798188,Animation,7.4/10,Japan,Japanese,91 min,16 July 2011,U
72,tt7624840,Crime,5.6/10,India,Hindi,108 min,12 April 2019,"
 See all certifications »
            "
73,tt11769798,Action,6.8/10,South Korea,Korean,,28 March 2020,"
 See all certifications »
            "
74,tt11953628,Comedy,6/10,India,English,111 min,30 March 2020,15
75,tt11875456,Animation,6.1/10,USA,English,46 min,27 March 2020,U
76,tt11875458,Animation,5.6/10,Canada,English,23 min,27 March 2020,"
 See all certifications »
            "
77,tt10864040,Documentary,6.7/10,Canada,English,73 min,27 March 2020,"
 See all certifications »
            "
78,tt10011508,Documentary,7.3/10,USA,English,91 min,25 April 2019,"
 See all certifications »
            "
79,tt9815454,Drama,8.1/10,Germany,German,,26 March 2020,"
 See all certifications »
            "
80,tt11316824,Drama,7.5/10,Thailand,Thai,,26 December 2019,"
 See all certifications »
            "
81,tt11861072,Comedy,7.3/10,USA,English,70 min,24 March 2020,"
 See all certifications »
            "
82,tt8667956,Crime,6.6/10,Austria,German,,23 March 2020,18
83,tt11942052,Reality-TV,5.4/10,Taiwan,Mandarin,,21 March 2020,"
 See all certifications »
            "
84,tt8228288,Horror,7/10,Spain,Spanish,94 min,20 March 2020,18
85,tt10937434,Drama,6/10,Italy,Italian,108 min,9 March 2020,15
86,tt11829340,Animation,8.1/10,UK,English,,20 March 2020,"
 See all certifications »
            "
87,tt11829316,Drama,5.4/10,France,French,,20 March 2020,18
88,tt8403664,Drama,7.6/10,UK,English,,20 March 2020,"
 See all certifications »
            "
89,tt11905720,Crime,6.5/10,India,Hindi,,20 March 2020,"
 See all certifications »
            "
90,tt2983222,Crime,6.7/10,USA,English,,20 March 2020,15
91,tt8741648,Action,5.9/10,UK,English,,20 March 2020,PG
92,tt8771910,Drama,7.4/10,USA,English,,20 March 2020,15
93,tt6436212,Drama,4.6/10,Mexico,Spanish,95 min,March 2017,"
 See all certifications »
            "
94,tt10098620,Comedy,7.5/10,UK,English,,18 March 2020,G
95,tt11561866,Animation,6/10,Saudi Arabia,Arabic,110 min,9 January 2020,"
 See all certifications »
            "
96,tt9310328,Animation,6.5/10,Japan,Japanese,74 min,19 March 2020,15
97,tt7785420,Crime,6/10,Netherlands,Dutch,,10 November 2019,"
 See all certifications »
            "
98,tt11810424,Comedy,7.1/10,USA,English,62 min,17 March 2020,"
 See all certifications »
            "
99,tt9176260,Drama,5.4/10,India,Hindi,137 min,8 November 2019,"
 See all certifications »
            "
100,tt9817760,Comedy,3.5/10,India,Hindi,103 min,17 January 2020,12A
101,tt3111426,Drama,6.1/10,USA,English,95 min,13 March 2020,15
102,tt11823088,Reality-TV,5.6/10,USA,English,,13 March 2020,15
103,tt9815502,Horror,6.3/10,Norway,Norwegian,,13 March 2020,15
104,tt8686460,Comedy,6.5/10,South Africa,English,93 min,12 October 2018,"
 See all certifications »
            "
105,tt10845262,Drama,7.5/10,Philippines,Tagalog,120 min,13 March 2020,"
 See all certifications »
            "
106,tt11769304,Comedy,8.2/10,South Korea,Korean,,12 March 2020,"
 See all certifications »
            "
107,tt11823028,Comedy,6.3/10,France,French,,12 March 2020,"
 See all certifications »
            "
108,tt11810418,Documentary,6.8/10,USA,English,71 min,10 March 2020,"
 See all certifications »
            "
109,tt9581782,Reality-TV,6.9/10,Brazil,Portuguese,,11 March 2020,"
 See all certifications »
            "
110,tt10254986,Documentary,6.8/10,USA,English,96 min,17 May 2019,"
 See all certifications »
            "
111,tt11767524,Animation,6.7/10,Canada,English,31 min,10 March 2020,"
 See all certifications »
            "
112,tt10062614,Drama,5.5/10,India,Hindi,119 min,6 March 2020,"
 See all certifications »
            "
113,tt8629748,Action,6.2/10,USA,English,111 min,6 March 2020,15
114,tt9358200,Documentary,7.4/10,USA,English,115 min,13 October 2019,15
115,tt7324726,Romance,3.8/10,South Africa,English,90 min,21 April 2017,"
 See all certifications »
            "
116,tt11738790,Animation,5.9/10,India,Hindi,,5 March 2020,"
 See all certifications »
            "
117,tt11738792,Comedy,7.4/10,USA,English,61 min,3 March 2020,"
 See all certifications »
            "
118,tt8889472,Short,,USA,English,61 min,16 February 2019,
119,tt0456149,Comedy,7.9/10,Romania,Romanian,153 min,14 July 2006,15
120,tt1403047,Drama,6.6/10,Romania,Romanian,181 min,9 November 2012,12A
121,tt11262978,Comedy,7.1/10,India,,72 min,9 December 2019,"
 See all certifications »
            "
122,tt5592796,Biography,6.3/10,Puerto Rico,English,113 min,8 November 2019,15
123,tt2336014,Music,5.8/10,South Africa,English,87 min,29 September 2017,
124,tt0087544,Animation,8.1/10,Japan,Japanese,117 min,12 June 1987,PG
125,tt0206013,Animation,7.2/10,Japan,Japanese,104 min,15 June 2001,PG
126,tt3907584,Drama,6.5/10,USA,English,107 min,28 February 2020,15
127,tt8693266,Crime,6.5/10,Spain,Spanish,,28 February 2020,15
128,tt9426290,Action,5.8/10,South Africa,Russian,,28 February 2020,"
 See all certifications »
            "
129,tt11822998,Documentary,8.2/10,USA,English,,26 February 2020,"
 See all certifications »
            "
130,tt9446688,Comedy,7.6/10,USA,English,,26 February 2020,15
131,tt5321814,Documentary,6.6/10,USA,,105 min,12 March 2019,"
 See all certifications »
            "
132,tt11778148,Comedy,5.9/10,USA,English,49 min,25 February 2020,15
133,tt9026184,Drama,4.6/10,USA,English,93 min,25 October 2019,15
134,tt11534164,Drama,8/10,South Korea,Korean,,21 February 2020,"
 See all certifications »
            "
135,tt10230436,Drama,7.6/10,India,Hindi,117 min,21 February 2020,15
136,tt7456312,Crime,4.2/10,USA,English,115 min,21 February 2020,15
137,tt10037034,Comedy,7.3/10,USA,,,21 February 2020,15
138,tt8130904,Mystery,5.4/10,India,Hindi,101 min,13 December 2019,12A
139,tt10145110,Fantasy,4.4/10,Brazil,Portuguese,,20 February 2020,"
 See all certifications »
            "
140,tt8076222,Documentary,8.7/10,Romania,Romanian,92 min,13 August 2019,"
 See all certifications »
            "
141,tt10896172,Drama,6.2/10,Philippines,Tagalog,95 min,13 September 2019,"
 See all certifications »
            "
142,tt10127562,Animation,6.6/10,Japan,Japanese,103 min,2 August 2019,"
 See all certifications »
            "
143,tt9354842,Comedy,6/10,USA,English,101 min,12 February 2020,"
 See all certifications »
            "
144,tt7786346,Short,6.6/10,Poland,Polish,101 min,24 December 2017,"
 See all certifications »
            "
145,tt5000984,Romance,5.6/10,South Africa,English,87 min,24 April 2015,"
 See all certifications »
            "
146,tt11604750,Animation,6.2/10,USA,English,87 min,11 February 2020,"
 See all certifications »
            "
147,tt10367818,Action,5.4/10,USA,Spanish,,13 August 2019,"
 See all certifications »
            "
148,tt10643938,Drama,6.9/10,Indonesia,Indonesian,92 min,31 October 2019,"
 See all certifications »
            "
149,tt9448362,Drama,7/10,India,Malayalam,140 min,5 June 2019,"
 See all certifications »
            "
150,tt11388406,Drama,5.9/10,USA,English,103 min,7 February 2020,15
151,tt11058644,Drama,7.6/10,Korea,,,7 February 2020,15
152,tt8630282,Drama,5.7/10,Ghana,Akan,92 min,7 February 2020,"
 See all certifications »
            "
153,tt11600174,Documentary,7.8/10,USA,English,,5 February 2020,"
 See all certifications »
            "
154,tt11642302,Documentary,5.2/10,Canada,English,,5 February 2020,"
 See all certifications »
            "
155,tt10468636,Action,6.8/10,India,Tamil,149 min,20 December 2019,"
 See all certifications »
            "
156,tt10826102,Comedy,7.9/10,South Korea,Korean,,2 October 2019,"
 See all certifications »
            "
157,tt0104652,Animation,7.7/10,Japan,Japanese,94 min,8 February 1996,PG
158,tt0102587,Animation,7.7/10,Japan,Japanese,118 min,23 June 1995,PG
159,tt0108432,Animation,6.7/10,Japan,Japanese,72 min,7 October 1994,PG
160,tt0495596,Animation,6.5/10,Japan,Japanese,115 min,16 May 2007,PG
161,tt0097814,Animation,7.8/10,Japan,Japanese,103 min,19 July 1991,U
162,tt0092067,Animation,8/10,Japan,Japanese,125 min,13 December 1991,PG
163,tt6156138,Drama,7.3/10,Japan,Japanese,115 min,31 January 2020,15
164,tt11388580,Documentary,7.4/10,USA,English,85 min,31 January 2020,15
165,tt8403622,Drama,5.5/10,Italy,Italian,,31 January 2020,15
166,tt9251798,Drama,7.5/10,Norway,Norwegian,,31 January 2020,15
167,tt6974886,Comedy,6.6/10,Nigeria,English,99 min,4 August 2017,"
 See all certifications »
            "
168,tt8046932,Adventure,,USA,English,,,
169,tt6527586,Drama,6.3/10,France,French,111 min,3 October 2018,15
170,tt11497922,Documentary,8.2/10,UK,English,,29 January 2020,"
 See all certifications »
            "
171,tt6076694,,,,,,29 January 2020,"
 See all certifications »
            "
172,tt9769714,Drama,5.5/10,India,Tamil,132 min,6 December 2019,"
 See all certifications »
            "
173,tt11611314,Comedy,7.8/10,India,English,75 min,26 January 2020,"
 See all certifications »
            "
174,tt9614988,Drama,8.3/10,India,Tamil,153 min,27 December 2019,"
 See all certifications »
            "
175,tt10883506,Crime,7.6/10,Taiwan,Mandarin,156 min,1 November 2019,"
 See all certifications »
            "
176,tt11497900,Comedy,6.9/10,Mexico,Spanish,51 min,23 January 2020,"
 See all certifications »
            "
177,tt11497904,Documentary,6.3/10,USA,English,,22 January 2020,12
178,tt10731748,Comedy,5/10,Brazil,Portuguese,96 min,23 January 2020,PG
179,tt1808262,Musical,6.3/10,South Africa,Afrikaans,96 min,19 November 2010,"
 See all certifications »
            "
180,tt2631210,Musical,4.9/10,South Africa,Afrikaans,91 min,7 November 2012,
181,tt4993990,Crime,4.7/10,South Africa,Afrikaans,97 min,26 February 2016,"
 See all certifications »
            "
182,tt9172840,Comedy,5.8/10,India,,150 min,15 November 2019,"
 See all certifications »
            "
183,tt11390036,Drama,5.8/10,USA,English,115 min,17 January 2020,15
184,tt8404520,Horror,5.6/10,Netherlands,Dutch,,17 January 2020,"
 See all certifications »
            "
185,tt7967412,Drama,6.6/10,Spain,Spanish,107 min,30 August 2019,"
 See all certifications »
            "
186,tt11475228,Documentary,7.4/10,USA,English,,15 January 2020,"
 See all certifications »
            "
187,tt7297966,Drama,7.3/10,India,Assamese,87 min,28 September 2018,U
188,tt6774588,Biography,6/10,Hungary,English,98 min,12 September 2019,15
189,tt8659050,Drama,6.8/10,India,Hindi,95 min,2 January 2020,"
 See all certifications »
            "
190,tt10482560,Animation,8.3/10,USA,English,,14 January 2020,PG
191,tt10540562,Action,6.3/10,,,,13 January 2020,"
 See all certifications »
            "
192,tt9351598,Comedy,5.7/10,France,French,87 min,26 June 2019,"
 See all certifications »
            "
193,tt8001106,Crime,7.9/10,UK,English,,17 October 2019,"
 See all certifications »
            "
194,tt10101272,Comedy,7.3/10,South Korea,Korean,,6 May 2019,
195,tt8236528,Comedy,7.4/10,South Korea,Korean,,7 May 2018,"
 See all certifications »
            "
196,tt9146104,Drama,6.2/10,South Korea,,,21 November 2018,
197,tt9467164,Action,7.8/10,South Korea,Korean,,11 February 2019,"
 See all certifications »
            "
198,tt9674954,Action,8.2/10,South Korea,Korean,,15 February 2019,"
 See all certifications »
            "
199,tt7056766,Fantasy,7.3/10,South Korea,Korean,,19 July 2017,"
 See all certifications »
            "
200,tt11418344,Animation,6/10,Japan,Japanese,,9 January 2020,"
 See all certifications »
            "
201,tt9139220,Drama,6.8/10,UK,English,,1 January 2020,15
202,tt0337971,Crime,6.6/10,India,Hindi,169 min,25 October 2002,15
203,tt6803718,Drama,8.2/10,Philippines,English,,9 January 2017,"
 See all certifications »
            "
204,tt7671598,Drama,7.7/10,USA,Arabic,,1 January 2020,15
205,tt7541708,Drama,7.3/10,Indonesia,Indonesian,102 min,26 October 2017,"
 See all certifications »
            "
206,tt0085896,Comedy,7.6/10,India,Hindi,167 min,1983,15
207,tt7020532,Mystery,8/10,South Korea,Korean,,5 August 2017,"
 See all certifications »
            "
208,tt0084385,Action,7.3/10,India,Hindi,171 min,30 April 1982,PG
209,tt0819810,Drama,6.5/10,India,Hindi,130 min,2 February 2007,12A
210,tt0476848,Comedy,6.7/10,India,Hindi,154 min,2 September 2005,PG
211,tt7262178,Comedy,2.8/10,India,Hindi,131 min,2 March 2018,"
 See all certifications »
            "
212,tt6395306,Drama,7.6/10,Canada,Hindi,106 min,24 September 2017,"
 See all certifications »
            "
213,tt0079236,Action,6.5/10,India,Hindi,105 min,6 April 1979,PG
214,tt1471247,Drama,7.4/10,India,Hindi,135 min,29 January 2010,18
215,tt0072064,Drama,7.3/10,India,Hindi,110 min,,
216,tt0085913,Drama,8.5/10,India,Hindi,165 min,22 October 1983,"
 See all certifications »
            "
217,tt9007142,Drama,6.3/10,India,Hindi,125 min,23 November 2018,"
 See all certifications »
            "
218,tt0152720,Drama,6.6/10,India,Hindi,129 min,,
219,tt0086230,Romance,8.4/10,India,Hindi,141 min,8 July 1983,"
 See all certifications »
            "
220,tt0341554,Drama,7.1/10,India,Hindi,141 min,4 March 1982,"
 See all certifications »
            "
221,tt6941560,Comedy,6/10,India,Hindi,96 min,16 June 2017,
222,tt0084630,Action,7.2/10,India,Hindi,160 min,22 January 1982,PG
223,tt8338746,Comedy,3.7/10,India,Hindi,115 min,1 June 2018,"
 See all certifications »
            "
224,tt0090202,Drama,7.1/10,India,Hindi,137 min,30 August 1985,U
225,tt5309926,Action,8/10,India,Telugu,161 min,5 October 1989,18
226,tt0333650,Comedy,,India,Malayalam,140 min,,"
 See all certifications »
            "
227,tt0338490,Crime,7.9/10,India,Hindi,115 min,1 August 2003,15
228,tt0072783,Comedy,8.4/10,India,Hindi,146 min,11 April 1975,U
229,tt0073104,Action,6.8/10,India,Hindi,164 min,1 October 1976,PG
230,tt2699840,Drama,5.7/10,India,Hindi,138 min,13 September 2013,"
 See all certifications »
            "
231,tt0456481,Drama,6.1/10,India,English,138 min,20 October 2006,PG
232,tt0246456,Drama,7.3/10,India,Hindi,120 min,21 May 1982,"
 See all certifications »
            "
233,tt7476874,Drama,5.4/10,India,Hindi,106 min,6 July 2018,"
 See all certifications »
            "
234,tt0215911,Drama,8.6/10,India,Hindi,125 min,27 November 1972,PG
235,tt0495034,Action,7.4/10,India,Hindi,125 min,14 July 2006,12A
236,tt0244585,Comedy,7.7/10,India,Hindi,126 min,25 January 1980,U
237,tt1245774,Drama,6.2/10,India,Hindi,126 min,6 November 2009,15
238,tt0077451,Action,7.8/10,India,Hindi,175 min,12 May 1978,PG
239,tt0119428,Action,6/10,India,Hindi,138 min,7 February 1997,12
240,tt0245825,Comedy,4.7/10,India,Hindi,136 min,5 May 2000,15
241,tt0375733,Crime,6.7/10,India,Hindi,150 min,9 August 2002,15
242,tt0079221,Comedy,8.6/10,India,Hindi,120 min,20 April 1979,"
 See all certifications »
            "
243,tt0068257,Comedy,8/10,India,Hindi,130 min,7 July 1972,U
244,tt0341266,Horror,6.5/10,India,Hindi,130 min,30 May 2003,15
245,tt0082594,Action,6.8/10,India,Hindi,157 min,25 December 1981,15
246,tt0185335,Action,6.6/10,India,Hindi,157 min,,18
247,tt0099652,Action,7.6/10,India,Hindi,163 min,22 June 1990,15
248,tt0805184,Comedy,6.3/10,India,Hindi,157 min,22 December 2006,12
249,tt0953306,Drama,6.7/10,India,Hindi,157 min,12 January 2007,
250,tt0946999,Crime,6.3/10,India,Hindi,102 min,10 November 2006,
251,tt6275262,Mystery,5.6/10,India,Hindi,102 min,19 January 2018,"
 See all certifications »
            "
252,tt0451803,Comedy,5.6/10,India,Hindi,145 min,15 July 2005,PG
253,tt7172308,Crime,6.8/10,India,Hindi,128 min,2 February 2018,"
 See all certifications »
            "
254,tt0845448,Action,7.3/10,India,Hindi,136 min,7 September 2007,12A
255,tt0075669,Action,7.5/10,India,Hindi,184 min,27 May 1977,PG
256,tt0831840,Drama,7/10,India,Hindi,122 min,18 August 2006,PG
257,tt1202517,Comedy,6.8/10,India,Hindi,122 min,13 March 2009,
258,tt4355838,Drama,6.2/10,India,Hindi,100 min,12 April 2019,"
 See all certifications »
            "
259,tt4190220,Comedy,6.4/10,India,Hindi,141 min,28 November 2014,"
 See all certifications »
            "
260,tt5828144,Animation,5.9/10,South Korea,,,23 April 2016,"
 See all certifications »
            "
261,tt10061256,Drama,4.4/10,Japan,Japanese,119 min,28 June 2019,"
 See all certifications »
            "
262,tt9574444,Romance,6/10,Philippines,Filipino,,11 January 2019,
263,tt10946934,Comedy,6.4/10,Mexico,Spanish,112 min,24 December 2019,"
 See all certifications »
            "
264,tt8858420,Action,3.8/10,Poland,Polish,138 min,28 February 2019,18
265,tt6338476,Comedy,6.2/10,USA,English,103 min,19 January 2017,12
266,tt8211214,Family,5/10,Australia,English,98 min,21 December 2019,"
 See all certifications »
            "
267,tt8404614,Comedy,7.6/10,UK,English,125 min,20 December 2019,12A
268,tt5180504,Action,8.3/10,USA,English,,20 December 2019,15
269,tt10214826,Action,8.5/10,India,Telugu,,31 May 2019,"
 See all certifications »
            "
270,tt4512896,Drama,6.9/10,Nigeria,English,,20 December 2019,"
 See all certifications »
            "
271,tt4387222,Comedy,5.4/10,Nigeria,English,,25 December 2019,"
 See all certifications »
            "
272,tt11318602,Documentary,8.1/10,UK,English,,18 December 2019,18
273,tt11248800,Comedy,7.4/10,USA,English,63 min,17 December 2019,15
274,tt10549212,Crime,7/10,Italy,Italian,,29 November 2019,15
275,tt1772872,Action,5.2/10,India,Hindi,135 min,1 April 2011,15
276,tt0808306,Comedy,6.1/10,India,Hindi,118 min,23 February 2007,12A
277,tt6685776,Romance,6.1/10,Nigeria,English,100 min,16 June 2017,"
 See all certifications »
            "
278,tt0323013,Action,7.9/10,India,Hindi,186 min,18 June 2004,12A
279,tt0292490,Comedy,8.1/10,India,Hindi,183 min,10 August 2001,PG
280,tt4110568,Comedy,6.8/10,India,Hindi,170 min,5 June 2015,12A
281,tt0461936,Action,7.2/10,India,Hindi,170 min,20 October 2006,12A
282,tt8610846,Documentary,4.3/10,USA,English,170 min,1 January 2017,"
 See all certifications »
            "
283,tt3422462,Comedy,4.5/10,India,Hindi,135 min,7 August 2015,12A
284,tt2806788,Comedy,6.9/10,India,Hindi,139 min,14 June 2013,12A
285,tt1373156,Drama,7/10,India,Hindi,135 min,26 February 2010,12A
286,tt4328462,Short,,Canada,English,,30 November 2014,
287,tt6992046,Documentary,,USA,English,,3 May 2019,
288,tt6950250,Comedy,4/10,Ghana,English,115 min,15 December 2019,"
 See all certifications »
            "
289,tt8106534,Action,6.1/10,USA,English,128 min,13 December 2019,15
290,tt11313076,Documentary,5.8/10,UK,English,64 min,12 December 2019,15
291,tt6334740,Comedy,5.5/10,Nigeria,,98 min,9 December 2016,"
 See all certifications »
            "
292,tt5955112,Comedy,4.5/10,Nigeria,English,110 min,April 2017,"
 See all certifications »
            "
293,tt10871460,Action,5.5/10,Taiwan,Chinese,110 min,29 August 2019,"
 See all certifications »
            "
294,tt8902990,Drama,7.6/10,India,English,143 min,11 October 2019,12A
295,tt11269704,Comedy,7.1/10,USA,English,59 min,10 December 2019,15
296,tt9893062,Action,7.1/10,Mexico,Spanish,,10 December 2019,
297,tt6836936,Action,5.2/10,India,Telugu,170 min,30 August 2019,15
298,tt7653254,Comedy,8/10,UK,English,137 min,6 December 2019,15
299,tt9077530,Drama,7.5/10,USA,English,,6 December 2019,12
300,tt9680524,Reality-TV,6.4/10,UK,English,,6 March 2019,"
 See all certifications »
            "
301,tt8149090,Comedy,6.4/10,Nigeria,English,,4 August 2017,"
 See all certifications »
            "
302,tt6911110,Action,3.8/10,Nigeria,English,115 min,19 May 2017,"
 See all certifications »
            "
303,tt10006006,Family,5.3/10,USA,English,84 min,5 December 2019,U
304,tt10069398,Comedy,7.6/10,Norway,Norwegian,,5 December 2019,"
 See all certifications »
            "
305,tt7403736,Drama,6.1/10,USA,English,,5 December 2019,18
306,tt8882390,Comedy,6.1/10,USA,English,55 min,3 December 2019,15
307,tt10326928,Comedy,5.2/10,USA,English,85 min,7 November 2019,PG
308,tt11156614,Thriller,5.5/10,Philippines,Filipino,98 min,1 December 2019,"
 See all certifications »
            "
309,tt0367413,Animation,6.1/10,Japan,Japanese,,3 April 2004,U
310,tt1413492,Action,6.5/10,USA,English,130 min,26 January 2018,15
311,tt8084058,Crime,7.3/10,South Korea,Korean,,25 April 2018,"
 See all certifications »
            "
312,tt7140020,Comedy,5.8/10,India,Punjabi,134 min,21 July 2017,"
 See all certifications »
            "
313,tt9169764,Documentary,6.6/10,Australia,,107 min,1 December 2019,"
 See all certifications »
            "
314,tt5910902,Comedy,6.2/10,UK,Punjabi,137 min,10 February 2017,PG
315,tt6115284,Drama,6.2/10,India,Punjabi,113 min,21 October 2016,12A
316,tt5917052,Family,6.7/10,India,Punjabi,136 min,17 March 2017,"
 See all certifications »
            "
317,tt8665634,Drama,8.4/10,India,Punjabi,137 min,21 September 2018,PG
318,tt8304386,Comedy,4.3/10,India,Hindi,134 min,20 September 2019,PG
319,tt9552488,Romance,6.8/10,USA,English,,16 February 2019,"
 See all certifications »
            "
320,tt9806192,Animation,7.6/10,France,French,81 min,29 November 2019,12A
321,tt10199586,Drama,6.7/10,France,Wolof,106 min,29 November 2019,12A
322,tt10681222,Documentary,7.8/10,USA,English,,29 November 2019,15
323,tt6921426,Action,4.4/10,Nigeria,English,104 min,1 December 2017,
324,tt6250554,Action,4.6/10,USA,English,105 min,5 December 2018,
325,tt8755316,Comedy,6.2/10,China,Mandarin,134 min,10 August 2018,"
 See all certifications »
            "
326,tt8542144,Comedy,4.4/10,Nigeria,English,106 min,May 2018,
327,tt10091530,Comedy,4.8/10,USA,English,92 min,28 November 2019,PG
328,tt9770286,Comedy,6.2/10,USA,English,,28 November 2019,PG
329,tt10619444,Animation,7/10,Japan,,,28 November 2019,15
330,tt11163014,Comedy,7.6/10,USA,English,85 min,26 November 2019,15
331,tt6214958,Documentary,7.2/10,Hungary,English,95 min,15 December 2016,"
 See all certifications »
            "
332,tt6241872,Animation,7.5/10,Hungary,English,96 min,15 November 2018,Not Rated
333,tt5895576,,,,,,15 November 2018,Not Rated
334,tt1302006,Biography,7.9/10,USA,English,209 min,27 November 2019,15
